statement,value
"When children are given vaccines for COVID-19, “a viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs.""",0
"Tylenol ""ruins your ability to kill” COVID-19.",0
“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,0
President Joe Biden “never had a” COVID-19 “plan.”,0
“It feels amazing” that unvaccinated people are “4.5 times LESS LIKELY to catch omicron” than people who are fully vaccinated and boosted.,0
"""Yale study: Vaccinated people more likely to be infected than those without the jab.”",0
The CDC finally admits its COVID-19 test can’t tell the difference between the virus and the flu,0
"""By declining the vax, I am 100% safe from adverse reactions and 99.8% safe from COVID.""",0
Vaccines are why flights have been shut down worldwide.,0
"Says Betty White said Dec. 28, days before she died, “Eat healthy and get all your vaccines. I just got boosted today.”",0
“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,0
“WHO Director-General: The vaccines are being used to kill children.”,0
Teens are “more likely to be hospitalized with myocarditis” from the COVID-19 vaccines than to be “hospitalized with COVID.”,0
People vaccinated for COVID-19 “do not spread the disease to anyone else.”,0
"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",0
“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,0
"The omicron variant of COVID-19 “came out” in 2021, but “the copyright on this book” about the variant is 2020.",0
“Maybe they’re just calling the common cold … the omicron variant.”,0
“Moderna patent uncovers horror nanocensor contained in bioweapon.”,0
“Santa Claus arrested by German police for not wearing a mask.”,0
“Dr. Fauci opens up the possibility that the COVID-19 vaccine could be making people more likely to be infected by the virus.”,0
Photo shows “the jabbed and the unjabbed … separated with a fence in a supermarket” in Germany.,0
Microsoft and Bill Gates created a 1999 video game called “Omikron.”,0
Soft-tissue cancer diagnoses have “climbed through the roof” in 2021 as a result of COVID-19 vaccines.,0
“They've planned this” COVID-19 “pandemic all along!”,0
The COVID-19 vaccines cause AIDS.,0
"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",0
"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",1
Says Anthony Fauci “wants Americans to get 4 shots per year.”,0
"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",0
"Around the world, people who exercise their ""health autonomy"" and don't get vaccinated are being put ""basically into internment camps.""",0
"Deaths from vaccines have totaled 1,621 from Johnson & Johnson, 4,799 from Moderna, 13,039 from Pfizer and 73 from unknown vaccines. And this is an undercount because “only 1% of deaths are reported.”",0
The COVID-19 vaccine is the “deadliest vaccine ever made.”,0
Warnings about heart problems and blood clots in cold weather are to cover up COVID-19 vaccine side effects.,0
"""Canada joins the no jab, no food trend""",0
"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",0
"Society is “choosing blood clots and heart problems over cold and flu symptoms, or even no symptoms at all.”",0
"""COVID-19 vaccines do not stop transmission of COVID, but instead increase it.”",0
"A campaign poster for New Zealand Prime Minister Jacinda Ardern with the slogan, “No jab. No job, no refunds.”",0
Says Vice President Kamala Harris called the unvaccinated “dirty Trump people.”,0
"""Pathogens evolve to become less, not more, virulent over time” because otherwise, “they’d destroy their hosts which they depend on to live.”",0
"“SHOCKING: In the wake of Austria’s drastic lockdown of unvaccinated people, EU chief calls for throwing out Nuremberg Code.”",0
“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,0
A video shows people in Romania protesting COVID-19 vaccines.,0
Says Boris Johnson faked getting his booster shot.,0
"""Tap water is testing positive for COVID!”",0
COVID-19 vaccines are gene therapy and a recent Forbes article proves that.,0
Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,0
"""Don’t be fooled by the next ‘Variant’! There are actually 1000’s of them. They just will pick the next one to keep the fear going.""",0
Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,0
Vaccinated people under 60 in England “are dying at twice the rate of unvaccinated people the same age. ... I don’t know how to explain this other than vaccine-caused mortality.”,0
“Only Reuters” reported that the doctor who detected the omicron variant said its symptoms are “very mild.”,0
"“COVID death rates 4 to 1, vaccinated to unvaxxed”",0
Omicron 'hysteria' was timed so that it would coincide with and distract from the Ghislaine Maxwell trial.,0
The omicron variant’s name is evidence the coronavirus pandemic is a hoax.,0
“Celine Dion has been paralyzed by the COVID vaccine and cancels her tour.”,0
Photo shows people recently protesting in Austria.,0
“Vitamin D levels of 50 ng/mL correlates to zero mortality rate from COVID.”,0
"""Fauci admits Covid vax doesn't work""",0
"""Spike protein goes to nucleus and impairs DNA repair.""",1
COVID-19 vaccines contain luciferase.,0
Says Kamala Harris said only vaccinated people are hospitalized and dying from COVID-19.,0
"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""",0
The COVID-19 vaccines “failed miserably” in animal trials and are “a type of gene therapy that several top scientists warn will kill you.”,0
“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,0
"A new medical diagnosis code has been designated for people who decline vaccines, and it will be used to help determine who will go into ""education camps.""",0
“Stalin once ripped all the feathers off a live chicken as a lesson to his followers.”,0
"""Children are 50 times more likely to be killed by the Covid vaccines than by the virus itself.""",0
“Wife of Pfizer’s CEO dies after complications from the vaccine.”,0
"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.",0
"No new COVID-19 cases in Uttar Pradesh, India, due to use of ivermectin",0
"""There is no added safety to the public if you're vaccinated.""",0
The military arrested “bedridden Gavin Newsom.”,0
“Gavin Newsom is out of sight likely because he has Guillain-Barre syndrome from his booster shot.”,0
"""Italy drastically reduced the country’s official COV1D-19 death count by over 97%. This means Covid killed fewer people than an average seasonal flu.”",0
“Sending your child to school” on a day when vaccines are being administered “is implied consent” for getting the COVID-19 vaccine.,0
"""Arizona Department of Education gives green light on face mask and vaccine mandates, as well as implementing Critical (Race) Theory.”",0
"The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”",1
"A banner for COVID-19 vaccines says, “Don’t forget to donate your childrens organs.”",0
“Australian military being trained to **force vaccinate** in door-to-door attacks.”,0
"“Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated""",0
"""This idea that it's the pandemic of the unvaccinated, it's just a total lie.""",0
"The Astroworld concert was a “test run on the vaxxed” because people who are injected with graphene oxide can be controlled through magnetic frequencies, including music.",0
"United Kingdom “government reports suggest the fully vaccinated are rapidly developing Acquired Immunodeficiency Syndrome.""",0
"“CEO of Pfizer arrested, charged with fraud.”",0
"“The Spanish High Court has announced (COVID-19) is a bio weapon with a patent, not a virus.”",0
The premier of Australia’s Victoria state “is freezing people’s bank accts” if they are not vaccinated. “They can’t buy or sell until forced into submission.”,0
"“Moderna has been pulled in Iceland and pulled for everyone under age 30 in Finland, Sweden, Norway, Denmark due to heart issues.”",0
Social media posts suggest a CDC graph shows the COVID-19 vaccine is harmful to children and that California’s school vaccine mandate is dangerous.,0
"Children who receive COVID-19 vaccinations ""will be walking factories of spike proteins"" that will ""undoubtedly cause illnesses to spread like wildfire in schools.""",0
"""National Guard to fill in for cops who refuse to get vaccinated.""",0
"“Unmask your kids! Any carbon dioxide concentrations above” 2,000 parts per million are “dangerous!”",0
Blood “starts to clot in a minute or two” after a Pfizer COVID-19 vaccine injection.,0
“Japan drops vax rollout”,0
"""There is no such thing as a booster. There is a failed product that is sometimes used again in hopes of a different outcome.”",0
"In the United Kingdom, “70-plus percent of the people who die now from COVID are fully vaccinated.”",0
Says Jen Psaki said Joe Biden wants to protect “marked people.”,0
“The seasonal cold and flu is actually more dangerous for kids than the Coronavirus” and “there is very low transmissibility from children to their families and communities.”,0
“Indiana State Police offers to hire Chicago officers who REFUSE TO COMPLY with vax mandate.”,0
"With COVID-19, vaccinated people ""are the real threat to"" unvaccinated people.",0
“Australia to Implement Quarantine Camps for the Unvaxed”,0
“NIH COVID Treatment Guidelines Approve Ivermectin”,0
“There’s been no” TV commercials for the COVID-19 vaccines because “they are required by law to list all adverse side effects.”,0
We are seeing “the Justice Department treat American parents as domestic terrorists” under the Patriot Act.,0
"""Southwest Airlines announce they will no longer terminate employees over the mandate.""",1
"Pathologists found ""a host of non-biological components ... in the blood of vaccinated people,” including graphene chips and nanochips.",0
“Corona PCR ‘test’ is implanting a microchip.”,0
"“So now if you don’t comply” and get a COVID-19 vaccination, and you’re on “Social Security or disability, you won’t be able to receive your money.”",0
A video shows “the COVID-19 vaccine when it hits your blood.”,0
"COVID-19 vaccines contain “RNA-modifying transhumanism nanotechnology.""",0
Photo of vaccine package with 2018 date stamp shows COVID-19 outbreak was planned.,0
"The FEMA health care workers replacing the noncompliant nurses and doctors are NOT required to get vaccinated via the CDC.""",0
A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.,0
There is an “epidemic of plane crashes linked to vaccine-related strokes in pilots.”,0
"In the United Kingdom, “81% of COVID-19 deaths are among the vaccinated.”",0
"COVID-19 “surges among most vaxxed communities, says Harvard study.”",1
"California’s shipping backlog is, in part, caused by a “California Truck Ban which says all trucks must be 2011 or newer and a law called AB 5 which prohibits Owner Operators.”",0
Says Dr. Anthony Fauci said he will not “take a PCR COVID test.”,0
Over 2 million injuries from COVID-19 vaccines have been reported to the World Health Organization.,0
Pfizer vaccine contains living particles that can germinate to cause sickness.,0
"""The media is pretty quiet about Florida's decline in COVID cases. No mask mandates or vaccine mandates.""",0
The percentage of vaccinated employees at United Airlines increased after the mandate because unvaccinated employees left the company.,0
"People who are vaccinated for the coronavirus “cannot spread it to you.""",1
“Pfizer admits there’s no vaccine approved by FDA.”,0
“Europe COMPLETELY BANS the Moderna vaccine for young people.”,0
An image of empty grocery store shelves shows the effect of President Joe Biden's “Build Back Better” plan.,0
The Pfizer COVID-19 vaccines contain a deadly parasite.,0
"“Vaxxed Delta pilot dies in-flight, emergency landing required.”",0
“Paris police beat a woman for shopping at a mall with no vaccine passport.”,1
"“Countless Southwest Airlines employees have walked out of their jobs to oppose the vaccine mandate, causing operations to effectively shut down.”",0
"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",0
"""It's been confirmed that the Pfizer” COVID-19 “vaccine isn't guaranteed after six months.""",0
"“CDC numbers” show that among children, the Pfizer and Moderna COVID-19 vaccines have a death rate “174 times higher” than the COVID-19 death rate.",0
A person’s immune system “tanks” after their second COVID-19 vaccine dose.,0
"""You are more likely, as a child, to end up in the hospital because of the vaccine than you are because of COVID. That's data from the CDC and from VAERS.""",0
“There is no FDA approval for the Pfizer BioNTech vaccine for COVID-19.”,0
“COVID internment camps announced in America: Tennessee governor signs EO authorizing National Guard to carry out COVID medical kidnappings.”,0
“There are precious few religions that actually say you cannot” get vaccinated.,1
“We do not have an approved (COVID) vaccine in America … the Pfizer vaccine available in the U.S. is not FDA approved.”,0
"""New data shows that death is proportional to dose"" for COVID-19.",0
"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",1
Says 86% of COVID-19 cases in Israel in July were in fully vaccinated individuals.,0
“75% of Republicans have been vaccinated” against COVID-19 in Illinois.,0
"""Millions have died from COVID injections.""",0
The Pfizer COVID-19 vaccine contains an “undisclosed ingredient. … How is informed consent possible?”,0
“The vaccination campaign” increased COVID-19 deaths by 175% in one year.,0
“Biden orders dishonorable discharge for 46% of troops who refuse vaccine.”,0
"Norway decided “that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because… it is no more dangerous than those mentioned.”",0
"""Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste'” ivermectin.",0
The White House “created a fake set for (President Joe) Biden to get his booster shot. The entire Biden presidency is one giant charade.”,0
VAERS reports show that babies whose mothers got the COVID-19 vaccine died after breastfeeding.,0
"A 13-year-old girl ""is now in critical care in the hospital here in Halifax because her heart stopped right after she had a vaccine.""",0
"A funeral home used a truck to advertise the message ""Don't get vaccinated.""",0
"""Breaking news — US Supreme Court has canceled universal vaccination in the United States.""",0
Children and teen suicide attempts “skyrocketed 250% in 2020” according to “one study done by a hospital.”,0
"Says doctors received a letter stating that if they “say anything bad about the vaccine,” they are “at risk of losing their medical license. How messed up is that s---?”",0
The FDA advisory board said unvaccinated people are more educated than most people who have gotten the COVID-19 vaccines.,0
Says Canadian Prime Minister Justin Trudeau and wife Sophie faked their COVID-19 vaccinations on live television.,0
"A ""Liability Warning Acknowledgement Form"" allows a worker to sue their company if they get injured from the COVID-19 vaccine.",0
"""Pfizer vaccine kills more people than it saves.""",0
Says the COVID-19 vaccine doesn’t “prevent catching or spreading” the virus “and only lasts months.”,0
“The CDC and county health officials have obtained 2020 Census records to enhance their vaccination enforcement protocols.”,0
"""Peak active cases” of COVID-19 for 2020 vs. 2021 show “this is not a ‘pandemic of the unvaccinated.'""",0
"“Hundreds of thousands died after taking the advice of these celebrities,” who are “aiding and abetting mass murder” by advocating COVID-19 vaccination.",0
Says President Joe Biden told people to get vaccinated against COVID-19 to protect themselves from hurricanes.,0
The Pfizer COVID-19 vaccine “is not approved.”,0
People who “have recovered (from COVID-19) have very strong immunity.”,1
“Ivermectin has been FDA approved for human use since 1996.”,1
“Biden orders VA to withhold benefits from unvaccinated veterans.”,0
Video shows a child who tested positive for COVID-19 “being separated from their parents.”,0
"""Japan says goodbye Moderna, hello ivermectin.""",0
Says the defense secretary texted all active military personnel saying they needed to get vaccinated by the following morning or “be court martialed.”,0
“27 U.S. Air Force pilots resign over COVID-19 vaccination mandate.”,0
“FEMA forcibly vaccinating Ida evacuees.”,0
"""Ivermectin sterilizes the majority (85%) of the men who take it.""",0
“President Putin bans mandatory vaccinations in Russia.”,0
"“Germany halts all Covid-19 vaccines, says they are unsafe and no longer recommended!!”",0
Says a demonstration with an air quality monitor shows that cloth masks are dangerous for children.,0
Video shows “Pfizer lab in Madrid on fire.”,0
“Bill Gates calls for the withdrawal of all Covid-19 Vaccines; ‘The vaccines are far more dangerous than anyone imagined.’”,0
"“In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city.” Biden's border policies are ""endangering not just the people of Texas, but people all across the country.""",0
"“The average hospital stay for a case of COVID-19 costs about $17,064. The vaccine is free.”",1
"“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”",1
“New Israeli study finds fully vaccinated people are at ‘greater risk of hospitalization’ and 13 times more likely to catch COVID-19 than those who have recovered and have natural immunity.”,1
Glenn Youngkin “called COVID relief ‘unnecessary.’”,0
The COVID-19 vaccines “were released to the public after only two months of testing in healthy humans.”,0
The mRNA COVID-19 vaccines are “really gene therapy.”,0
“Friendly reminder: Cigarettes are FDA approved.”,0
"The contagiousness of the coronavirus delta variant is “valued between 5 and 9½,” and if the value is closer to 10, “within six weeks, the whole country will test positive for delta, regardless of vaccination.”",0
Thalidomide was FDA-approved for pregnant women in the 1960s.,0
"White House, CDC, WHO and vaccine makers don’t require the COVID-19 vaccine for their workers.",0
Video shows “pupils in Nigeria running away from being vaccinated.”,0
“No one has died of cancer or heart disease since the COVID-19 thing started.”,0
"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""",0
"""Democrats like to blame Republicans on (low vaccination rates). Well, the biggest group in most states are African Americans who have not been vaccinated. The last time I checked, over 90% of them vote for Democrats.""",0
“Washington public school forces unvaccinated teens to wear ankle monitors” as a condition of playing team sports.,1
75 doctors in South Florida walked out in protest as their hospital was flooded with unvaccinated COVID-19 patients,0
"“It is the vaccinated, NOT the unvaccinated, spreading mutant variants.”",0
“80% of women who have been jabbed have lost their children in the first trimester.”,0
“Pfizer CEO has not yet had vaccine.”,0
Says a report of unvaccinated Florida teachers dying from COVID-19 isn’t real.,0
"“North Carolina during this pandemic had among the lowest COVID-related deaths, as well as job losses per capita.”",1
"COVID-19 vaccinations are “a violation of the Nuremberg code.""",0
“The CDC actually put together a document to discuss putting high risk people into camps to ‘shield’ low risk people from them.”,0
A photo shows two COVID-19 patients lying on the floor awaiting treatment in Florida.,1
Joe Biden and Kamala Harris “continuously questioned the vaccine during the campaign” but now “they support vaccine cards and forced vaccinations.”,0
“The second-largest investor in Regeneron” is a firm whose CEO is Ron DeSantis’ “number one political donor.”,0
"""100 Sailors at sea. All vaxxed. All with COVID (seven) weeks following deployment.""",1
“Fauci doesn’t trust new vaccine research as delta variant surges.”,0
Says Military Times reported that a study found “60% of sailors who had been fully vaccinated with 2-shot series vaccines are now at risk for heart disease.”,0
“Mayo Clinic study shows Pfizer vaccine dropped to 42% effective.”,1
A six-month study from Pfizer shows that its vaccine “reduces severe COVID symptoms/hospitalizations by .1%.”,0
There is a “0.05% chance of dying from COVID.”,0
The Biden administration is “not even testing these people” being released by Border Patrol into the U.S.,0
"Says Gen. David H. Berger said, “No mandatory vaccinations for my Marines.”",0
"The White House plans to call for lockdowns due to the delta variant and is “aiming for late 2nd week of August, per WH official.”",0
“It’s not unusual for hospitals to sit at max or near max capacity on any given day.”,1
"Photo shows Ron DeSantis holding a shirt that says, “Your mask is as useless as Joe Biden.”",0
Says the surge in COVID-19 cases is caused by “antibody mediated viral enhancement” from the COVID-19 vaccines.,0
The Centers for Disease Control and Prevention’s recent guidance on students and masking “lacks a well-grounded scientific justification.”,0
Suggests a suspicious link between the COVID-19 delta variant and company named Delta that works in 5G.,0
Ivermectin is an effective treatment for COVID-19.,0
“Pfizer CEO’s Israel visit canceled because he is not fully vaccinated.”,0
"""I will need to show proof to do anything indoors in” New York City, “but not when I vote?""",1
"“The Vaccine Adverse Event Recording System shows that 5,946 people have died because of the” COVID-19 vaccine.",0
"Unvaccinated people “are making the vaccinated people sick and die, but the unvaccinated people are not dead or sick.”",0
"Says there are fewer than 2,000 confirmed COVID-19 hospitalizations in the U.S.",0
“Pfizer vaccine now completely worthless in Israel as >80% of all COVID-19 patients were previously vaccinated.”,0
“Due to the new ‘delta variant’ California will be mailing in ballots for recall election.”,0
The survival rate for COVID-19 is over 99% for most age groups.,0
"Sweden had few COVID deaths in July, despite low vaccination rates, relaxed lockdown rules and low mask compliance.",1
The “delta” in “delta variant” means “deep sleep.”,0
Says Joe Biden has driven the current coronavirus surge because he “imported more virus from around the world by having a wide open southern border.”,0
“More people have died of an opioid overdose in North Carolina in recent years than have died of COVID.”,0
"Says spending by Democrats is driving major jumps in car rentals, gas prices and hotel prices this summer",0
"""If your employer is mandating any pokes, do not quit. Make them fire you. That way you get unemployment benefits.""",0
"Two federal government buses “stopped in front of a Mexican restaurant in the very small town of Green Cove Springs Florida… The passengers were illegal immigrants, straight from the southern border.”",0
“Wearing masks has not been demonstrated to make a significant impact in preventing the spread of COVID.”,0
It’s safer to be unvaccinated than vaccinated against COVID-19.,0
Ivermectin caused a substantial decrease in the excess mortality rate in Mexico.,0
“Fauci just told us they found a (coronavirus) variant that ‘evades the test.’”,0
Says Gov. Tony Evers has declared Wisconsin “permanently closed” for business.,0
"“The best way to avoid COVID altogether is to exercise, eat healthy and let your immune system beat it naturally.”",0
"“Thanks to (Israel's) sacrifice, we now know that natural immunity is far superior with 1% experiencing re-infection while 40% of new cases were previously vx'd.""",0
Photos show Lloyd Austin without a face shield after he landed in the Philippines.,0
“You can't actually use ARPA (American Rescue Plan Act) funds” to pay down state unemployment insurance fund deficits.,0
"CDC ""will revoke the emergency use authorization"" of the PCR COVID tests because those tests don't differentiate between COVID and flu viruses. ""Translation: They've been adding flu cases to Covid cases when using that test.”",0
“60% of patients admitted to the hospital in the UK have been fully vaccinated”,0
The opening ceremony of the 2012 London Olympics predicted the COVID-19 pandemic.,0
"Says Emmanuel Macron said, “I no longer have any intention of sacrificing my life, my time, my freedom and the adolescence of my daughters, as well as their right to study properly, for those who refuse to be vaccinated.”",0
“Alert: Law enforcement and the Red Cross have advised that there are people going door to door indicating that they are authorized to do testing for Coronavirus.”,0
Ethylene oxide used in COVID-19 testing swabs “literally changes the structure of the building blocks of your own body.”,0
"Says Joe Biden “is restricting travel for Americans into Mexico, but is keeping the border wide open for illegal aliens to walk right into our country.”",0
"“CDC quietly deletes 6,000 COVID vaccine deaths from its CDC website total in one day.”",0
“Don’t believe the hype that Florida” COVID-19 “numbers are up. It’s a blatant lie.”,0
Video montage shows Kamala Harris and others faking vaccination.,0
“It makes no sense to require vaccinations for the previously infected.”,0
Says an NBC producer at the Olympics was caught on a hot mic saying “60% of people in this stadium will be dead within 10 days.”,0
"""People are being diagnosed with delta variant"" even though ""there is no delta variant test.""",0
Says Joe Biden and Kamala Harris distrusted COVID-19 vaccines.,0
The coronavirus can’t be so dangerous because there are no biohazard bins for COVID-19 masks and gloves.,0
"“Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",1
“You’re not going to get COVID if you have these vaccinations.”,1
"“45,000 confirmed dead from the COVID-19 shots within three days… and they’ve covered it up.”",0
“Americans not vaccinated before 2022 will be put in camps”,0
“Every Republican in Congress voted to defund the police when they voted against the American Rescue Plan.”,0
"“If the shot actually saved lives, they’d be priced so high that you literally could not afford them, you know like insulin.”",0
Questions about whether she’s been vaccinated are “a violation of my HIPAA rights.”,0
“Canada prohibits all vaxxed pilots from flying.”,0
Photo shows people protesting against “vaccine tyranny” in France.,0
“You must give EVERY PENNY” of the advance child tax credit payments back when you file your 2021 taxes.,0
"“Unvaccinated, you can get COVID and have over 99% chance of survival. Get vaccinated and you can still get COVID and will still have over 99% chance of survival.”",0
Five JetBlue pilots died from the COVID-19 vaccine.,0
“Some of you are being injected with saline because it would look too suspicious if everybody died at the same time.”,0
Headlines show CNN published contradictory reports about hydroxychloroquine in 2020.,0
"Haiti, Tanzania and Madagascar refused the COVID-19 vaccines and now all three of their presidents have died unexpectedly.",0
“Lauren Boebert received a PPP loan for her restaurant.”,0
A study found an “82% miscarriage rate” among women between 30 days and 20 weeks pregnant who got an mRNA COVID-19 vaccine.,0
"If COVID-19 was real, the Duke and Duchess of Cambridge wouldn’t have been “allowed to join 50,000 other football fans inside a stadium.""",0
"The Pfizer COVID-19 vaccine is ""99% graphene oxide,"" which is ""toxic to the human body and causes a number of problems.",0
Four pharmaceutical companies have questionable track records that suggest their COVID-19 vaccines aren’t safe.,1
The delta variant of the coronavirus “is approximately 19 times less deadly.”,0
"“Fauci says there will be 'two Americas': One for vaccinated, one for unvaccinated.”",0
Says the Make-A-Wish Foundation will grant wishes only to fully vaccinated children.,0
"A “peer reviewed, scientific study showed that the COVID-19 vaccine causes two deaths for every three lives it saves.”",0
A video shows an animal chip scanner detecting a microchip where a woman was vaccinated.,0
A photo shows Mike Tyson wearing a T-shirt with an anti-vaccine message.,0
“CDC officials admit more hospitalizations of young people from vaccine than from the actual COVID virus.”,0
"Funeral directors say “no one is dying from COVID” and ""the only ones dying are from the vaccine.""",0
Says the U.S. government caused the coronavirus pandemic because it sent mRNA coronavirus vaccine candidates to university researchers weeks before the COVID-19 outbreak.,0
mRNA technology in COVID-19 vaccines was never tested in humans.,0
"Says Dr. Anthony Fauci in an email ""advises a family member to use (hydroxychloroquine) and antibiotic therapy, the same evening in which in a press conference he attacked (President Donald Trump) on the usefulness of (hydroxychloroquine) to fight the virus.”",0
“The WORLD HEALTH ORGANIZATION recently reversed its stance on children getting the Covid vaccine.”,0
“The unvaccinated have escaped every single strain or 'variant’” of SARS-CoV-2.,0
AstraZeneca means “weapon that kills.”,0
“Cuomo opens New York 72 hours before his daughter's wedding.”,0
Says the Novavax COVID-19 vaccine “dumps millions” of dangerous “spike proteins right into your body.”,0
"The COVID-19 vaccines’ “spike protein is very dangerous, it's cytotoxic.”",0
Says Anthony Fauci will make millions off new book.,0
"Emails show that Fauci knew ""hydroxychloroquine worked [and] emailed friends about it being effective.""",0
Says a 2010 Rockefeller Foundation report shows the COVID-19 pandemic and the international response were “meticulously planned at least 10 years ago.”,0
"""Study: hydroxychloroquine can boost COVID-19 survival chances by nearly 200%.""",0
Says professional soccer player Christian Eriksen received the Pfizer vaccine days before he collapsed during a game.,0
"""These 2 Ankeny moms standing next to the Governor are known Qanon and anti-vaxx conspiracy theorists.""",1
"""Report: Vaccine related deaths may rival recorded COVID-19 deaths.""",0
"The COVID-19 vaccines make people ""magnetized. They can put a key on their forehead, it sticks. They can put spoons and forks all over them, and they can stick.""",0
"Says Marjorie Taylor Greene said, “People are dying who have never died before.”",0
"""920 women lose their unborn babies after getting vaccinated.""",0
"""Airlines are meeting today to discuss the risks of carrying vaxed passengers due to the risk of clots and the liabilities involved.”",0
Viral immunologist says COVID-19 vaccines’ “spike protein” means people are being inoculated “with a toxin.”,0
“Fauci’s emails leaked.”,0
"""The CDC lowered the PCR threshold while no longer recording asymptomatic cases...but only for the vaccinated.""",0
"Emails show ""Fauci's fellow scientist could tell early on that the (coronavirus) looked manufactured.""",0
"An email from Dr. Anthony Fauci shows ""everyone was lied to"" about wearing masks to prevent the spread of COVID-19.",0
“U.S. military arrests Dr. Deborah Birx.”,0
“So the unvaxxed have to wear mask (sic) to protect the vaxxinated.”,0
"""You will be 'vaccinated' regardless of whether you receive the shot or not.”",0
COVID-19 vaccines are creating the coronavirus variants.,0
"""The Lancet peer-reviewed study confirms vaccine efficacy, not as 95% stated by the vaccine companies, but as: AstraZeneca 1.3%; Moderna 1.2%; J&J 1.2%; Pfizer 0.84%.""",0
"Says Luc Montagnier said, “There is no hope and no possible treatment for those who have been vaccinated already. We must be prepared to incinerate the bodies.”",0
"“Now, 50% of all of America, more than any other country, is fully vaccinated.”",0
You can’t donate plasma after getting a COVID-19 vaccine.,0
"People with the COVID-19 vaccine are being ""tracked in real time via 5G cellular, and all that data can be hacked into to track you.""",0
The CDC in mid-May quietly changed its international travel recommendations to require fully vaccinated people to test negative for COVID-19 before flying to the United States.,0
“943 innocent kids … are now injured or dead” because of the COVID-19 vaccine.,0
Getting the COVID-19 vaccine jeopardizes life insurance policies.,0
The CDC lifting mask guidelines “out of the blue with no solid explanation proves they lied to you the whole time about everything.”,0
Says Anthony Fauci’s wife has “a secret plan to put psych drugs in drinking water” to get people vaccinated.,0
"“Since removing the mask mandate two months ago, Texas has not reported a single COVID death. Not one.""",0
A video shows “Dems caught not wearing masks” at the White House.,1
An Ohio doctor died from a COVID-19 vaccine.,0
The AstraZeneca COVID-19 vaccine contains a Bluetooth microchip.,0
An electromagnetic radiation detector can detect radiation from someone’s COVID-19 vaccination.,0
Businesses aren't allowed to ask customers if they’ve been vaccinated because “there are HIPPA laws.”,0
Says Dr. Anthony Fauci’s wife is the NIH official “who rubber stamps exceptions to normal drug and vaccine testing.”,0
“COVID cases in India plummet after government promotes ivermectin and hydroxychloroquine use.”,0
“We now have more job openings than we do people who are on unemployment. We have 60% more job openings today than we did the month before the pandemic hit the state of Texas.”,1
"The Moderna vaccine contains an ingredient that is “for research use only, not meant for human or veterinary use.”",0
“CDC director finally admits that COVID cases were overcounted in hospitals”,0
Says the CDC’s new tracking policy is covering up cases of “breakthrough” COVID-19 infections among vaccinated people.,0
University of Miami researchers have found that the COVID-19 vaccine affects sperm production.,0
"""COVID-19 Jab: They skipped all animal trials because all animals were dying and went directly to people.""",0
"“New York's 1,200+ homeless veterans are ineligible for these $15,600 payments.”",0
"“About 40% to 50% of CDC, FDA employees are refusing the COVID-19 vaccine, according to” Anthony Fauci and FDA’s Peter Marks.",0
Merriam-Webster recently changed its definition of “anti-vaxxer” to include people who oppose laws that mandate vaccination.,0
Transmission of COVID-19 by asymptomatic individuals “has never been proven.”,0
